"wrkstat","wrkslf","wrkgovt","occ10","indus10","age","educ","sex","race","year","parsol","joblose","jobfind","satjob","satfin","coninc","conrinc","prestg10","prestg105plus","dwelown"
1,2,NA,2430,6970,65,16,2,1,1990,NA,4,2,3,2,43589,36883,55,73,2
1,2,NA,5240,6480,42,20,1,1,1990,NA,4,1,2,2,43589,43589,31,20,NA
1,2,NA,4820,6970,25,16,1,1,1990,NA,4,1,1,1,NA,NA,58,72,2
1,2,NA,5600,6670,39,14,2,1,1990,NA,4,2,2,3,43589,43589,40,39,2
5,1,NA,6260,770,55,8,1,2,1990,NA,NA,NA,NA,2,12071,NA,28,23,2
7,2,NA,8320,1680,82,8,2,2,1990,NA,NA,NA,NA,1,12071,NA,32,22,2
1,2,NA,2330,7860,54,19,2,2,1990,NA,4,1,1,2,NA,NA,61,83,2
1,2,NA,4760,5180,61,12,1,1,1990,NA,4,3,2,3,115822,50295,31,18,2
1,2,NA,2540,7860,53,14,2,1,1990,NA,4,3,2,3,115822,21795,48,50,1
5,2,NA,5540,6370,68,12,1,1,1990,NA,NA,NA,NA,1,43589,NA,45,46,NA
7,2,NA,5700,6870,69,12,2,1,1990,NA,NA,NA,2,2,21795,NA,47,55,2
5,2,NA,7330,4180,79,5,1,1,1990,NA,NA,NA,NA,3,NA,NA,38,37,NA
5,2,NA,5810,1680,65,10,2,1,1990,NA,NA,NA,NA,2,6035,NA,37,29,NA
7,NA,NA,NA,NA,79,12,2,1,1990,NA,NA,NA,2,3,NA,NA,NA,NA,2
5,2,NA,9600,6390,66,6,1,2,1990,NA,NA,NA,NA,1,36883,NA,35,28,1
7,2,NA,3800,9470,28,12,2,2,1990,NA,NA,NA,3,3,NA,NA,40,39,2
5,1,NA,6440,770,89,14,1,1,1990,NA,NA,NA,NA,2,NA,NA,43,50,NA
5,2,NA,5540,6370,76,8,1,1,1990,NA,NA,NA,NA,2,15089,NA,45,46,2
1,2,NA,7700,3980,51,8,2,2,1990,NA,4,2,1,2,60354,25148,50,62,1
1,2,NA,230,8470,50,16,2,2,1990,NA,NA,NA,3,2,115822,43589,59,80,NA
1,2,NA,5165,6870,34,12,2,2,1990,NA,4,2,2,2,NA,NA,37,33,1
1,2,NA,8140,2870,46,12,1,2,1990,NA,4,2,2,2,36883,15089,38,35,1
4,1,NA,6260,770,38,9,1,3,1990,NA,NA,NA,3,3,12071,12071,28,23,NA
7,NA,NA,NA,NA,25,9,2,3,1990,NA,NA,NA,1,2,NA,NA,NA,NA,2
1,1,NA,4920,7070,25,15,1,2,1990,NA,NA,NA,1,2,115822,43589,49,69,NA
1,2,NA,8300,9070,31,8,1,3,1990,NA,NA,3,3,3,10059,10059,26,12,2
1,2,NA,4700,5580,23,12,2,1,1990,NA,4,2,2,2,115822,28501,38,39,1
8,NA,NA,NA,NA,30,12,1,2,1990,NA,NA,NA,NA,3,4694,NA,NA,NA,NA
2,2,NA,3600,8180,33,14,2,2,1990,NA,NA,NA,2,3,43589,25148,48,50,NA
1,2,NA,3245,8370,53,14,2,2,1990,NA,NA,NA,1,3,73766,36883,62,82,NA
7,NA,NA,NA,NA,39,9,2,2,1990,NA,NA,NA,3,2,12071,NA,NA,NA,2
6,NA,NA,NA,NA,19,10,1,2,1990,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1,2,NA,4600,8470,35,15,2,2,1990,NA,NA,NA,2,3,73766,21795,35,28,NA
1,2,NA,5700,7470,36,13,2,2,1990,NA,NA,NA,2,3,28501,28501,47,55,NA
7,NA,NA,NA,NA,32,11,2,3,1990,NA,NA,NA,NA,3,15089,NA,NA,NA,NA
7,NA,NA,NA,NA,27,12,2,3,1990,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
1,2,NA,3800,9470,38,13,1,3,1990,NA,NA,NA,1,1,36883,36883,40,39,NA
2,2,NA,3600,8270,24,12,2,1,1990,NA,NA,NA,3,2,4694,NA,48,50,NA
1,2,NA,4700,5170,43,16,1,1,1990,NA,4,2,2,2,36883,31854,38,39,1
7,2,NA,5800,6970,47,11,2,1,1990,NA,NA,NA,3,2,43589,NA,47,48,NA
5,1,NA,4700,4970,68,16,1,1,1990,NA,NA,NA,NA,2,28501,NA,38,39,1
3,2,NA,2310,7860,64,16,2,1,1990,NA,NA,NA,1,1,115822,73766,61,85,NA
1,1,NA,350,8270,54,16,1,1,1990,NA,4,1,NA,2,115822,118255,64,86,1
1,2,NA,910,6870,36,18,1,1,1990,NA,4,2,2,1,115822,118255,45,60,1
1,2,NA,5840,6690,44,12,2,1,1990,NA,NA,NA,2,3,50295,28501,38,34,NA
1,2,NA,310,8680,28,12,1,1,1990,NA,1,2,3,3,43589,28501,39,40,2
7,NA,NA,NA,NA,22,10,2,1,1990,NA,NA,NA,2,2,60354,NA,NA,NA,2
1,2,NA,50,1680,38,14,2,1,1990,NA,3,3,1,3,50295,50295,53,73,2
4,2,NA,8320,1680,47,12,2,1,1990,NA,NA,NA,3,3,NA,NA,32,22,2
1,1,NA,4760,4770,21,12,1,3,1990,NA,4,3,2,NA,28501,15089,31,18,2
1,2,NA,2540,7290,33,12,2,1,1990,NA,NA,NA,1,1,25148,25148,48,50,NA
